id,usual_word_dev,usual_word_roman,transformed_word_dev,transformed_word_roman,english_meaning,everyday_sentence_dev,everyday_sentence_roman,improved_sentence_1_dev,improved_sentence_1_roman,improved_sentence_2_dev,improved_sentence_2_roman,synonyms_dev,synonyms_roman,usage_note,challenge_prompt,tags,difficulty
1,काम,kaam,कार्य,karya,"work, task, or purposeful action","आज का काम थोड़ा ज़्यादा है, पर शाम तक हो जाएगा।","Aaj ka kaam thoda zyada hai, par shaam tak ho jayega.","आज कार्य थोड़ा अधिक है, पर शाम तक पूरा हो जाएगा।","Aaj karya thoda adhik hai, par shaam tak poora ho jayega.","आज कार्य-भार अधिक अवश्य है, फिर भी इसे संध्या तक संपन्न कर लेंगे।","Aaj karya-bhaar adhik avashya hai, phir bhi ise sandhya tak sampann kar lenge.",कर्तव्य | प्रयोजन | श्रम,kartavya | prayojan | shram,"Karya gives ordinary work a composed, purposeful tone without sounding heavy.",Aaj ke kisi mahatvapurn karya par ek spasht vaakya banaiye.,work | daily speech | professional,easy
2,कोशिश,koshish,प्रयास,prayas,effort or attempt,"मैं कल से कोशिश कर रहा हूँ, आज शायद बात बन जाए।","Main kal se koshish kar raha hoon, aaj shayad baat ban jaaye.","मैंने कल से प्रयास जारी रखा है, आज शायद बात बन जाए।","Maine kal se prayas jaari rakha hai, aaj shayad baat ban jaaye.","मेरा प्रयास निरंतर रहा है; संभव है आज इसका सुखद परिणाम मिले।",Mera prayas nirantar raha hai; sambhav hai aaj iska sukhad parinaam mile.,यत्न | मेहनत | चेष्टा,yatna | mehnat | chesta,"Prayas is graceful in speech and writing, especially when describing sincere effort.",Kisi aise prayas ka zikr kijiye jisse aapko sudhaar mehsoos hua.,effort | self improvement | daily speech,easy
3,जल्दी,jaldi,शीघ्र,sheeghra,"soon, quickly, or without delay","ज़रा जल्दी बता देना, मुझे निकलना भी है।","Zara jaldi bata dena, mujhe nikalna bhi hai.","कृपया शीघ्र बता दीजिए, मुझे निकलना भी है।","Kripya sheeghra bata dijiye, mujhe nikalna bhi hai.","कृपया शीघ्र सूचित करें, क्योंकि मुझे प्रस्थान भी करना है।","Kripya sheeghra suchit karein, kyunki mujhe prasthaan bhi karna hai.",तुरंत | तत्काल | अविलंब,turant | tatkaal | avilamb,Sheeghra feels courteous and precise; use it when speed matters but the tone should stay calm.,Sheeghra shabd ka prayog karte hue kisi vinamra nivedan ka vaakya kahiye.,time | polite speech | requests,easy
4,मतलब,matlab,अर्थ,arth,meaning or significance,"अच्छा, तुम्हारी इस बात का मतलब क्या है?","Achchha, tumhari is baat ka matlab kya hai?","अच्छा, आपकी इस बात का अर्थ क्या है?","Achchha, aapki is baat ka arth kya hai?","कृपया स्पष्ट कीजिए, आपके कथन का वास्तविक अर्थ क्या है?","Kripya spasht kijiye, aapke kathan ka vaastavik arth kya hai?",मायने | भाव | तात्पर्य,maayne | bhaav | tatparya,"Arth is concise and elegant, useful whenever you are clarifying meaning.",Arth shabd ka prayog karte hue kisi vichaar ko samjhaiye.,meaning | clarity | conversation,easy
5,यानी,yaani,अर्थात्,arthaat,"that is, namely, or in other words","यानी कल सबको थोड़ा जल्दी आना है, ठीक?","Yaani kal sabko thoda jaldi aana hai, theek?","अर्थात् कल सबको थोड़ा शीघ्र आना है, सही?","Arthaat kal sabko thoda sheeghra aana hai, sahi?","अर्थात् सभी को कल निर्धारित समय से पूर्व उपस्थित होना है, है न?","Arthaat sabhi ko kal nirdharit samay se poorv upasthit hona hai, hai na?",यानी | तात्पर्य यह है | इस अर्थ में,yaani | tatparya yeh hai | is arth mein,Arthaat is best for explaining or restating a point with poise.,Arthaat ka prayog karke kisi baat ko aur spasht kijiye.,clarity | explanation | formal,medium
6,सोच,soch,विचार,vichaar,"thought, idea, or considered view",मेरी सोच यह है कि पहले छोटा-सा trial कर लेते हैं।,Meri soch yeh hai ki pehle chhota sa trial kar lete hain.,मेरा विचार है कि पहले एक छोटा परीक्षण कर लेते हैं।,Mera vichaar hai ki pehle ek chhota parikshan kar lete hain.,मेरा विचार है कि पूर्ण क्रियान्वयन से पहले सीमित स्तर पर परीक्षण उचित रहेगा।,Mera vichaar hai ki poorn kriyanvayan se pehle seemit star par parikshan uchit rahega.,राय | मनन | दृष्टि,raay | manan | drishti,"Vichaar sounds mature and reflective, especially for opinions and ideas.",Kisi vishay par apna vichaar ek santulit vaakya mein kahiye.,ideas | opinion | reflection,easy
7,नज़रिया,nazariya,दृष्टिकोण,drishtikon,perspective or point of view,"मैं तुम्हारा नज़रिया समझ रहा हूँ, बस एक चिंता है।","Main tumhara nazariya samajh raha hoon, bas ek chinta hai.","मैं आपका दृष्टिकोण समझ रहा हूँ, केवल एक चिंता है।","Main aapka drishtikon samajh raha hoon, keval ek chinta hai.",मैं आपके दृष्टिकोण का सम्मान करता हूँ; तथापि एक बिंदु पर मेरी चिंता बनी हुई है।,Main aapke drishtikon ka samman karta hoon; tathapi ek bindu par meri chinta bani hui hai.,दृष्टि | राय | परिप्रेक्ष्य,drishti | raay | pariprekshya,Drishtikon is ideal for thoughtful discussions where perspective matters.,Apne drishtikon ko ek vinamra vaakya mein vyakt kijiye.,perspective | discussion | professional,medium
8,सही,sahi,उचित,uchit,"appropriate, proper, or suitable",अभी phone करना सही रहेगा या थोड़ा रुक जाऊँ?,Abhi phone karna sahi rahega ya thoda ruk jaaun?,अभी phone करना उचित रहेगा या कुछ देर प्रतीक्षा करूँ?,Abhi phone karna uchit rahega ya kuch der pratiksha karoon?,"क्या इस समय संपर्क करना उचित होगा, अथवा मुझे कुछ समय प्रतीक्षा करनी चाहिए?","Kya is samay sampark karna uchit hoga, athva mujhe kuch samay pratiksha karni chahiye?",उपयुक्त | ठीक | अनुकूल,upayukt | theek | anukul,Uchit adds tact when you want to say something is right or suitable.,Uchit shabd ka prayog karke kisi salah ka vaakya banaiye.,judgment | advice | polite speech,easy
9,ज़रूरी,zaroori,आवश्यक,avashyak,necessary or essential,"कल आना ज़रूरी है क्या, या online हो जाएगा?","Kal aana zaroori hai kya, ya online ho jayega?","क्या कल आना आवश्यक है, या काम online हो जाएगा?","Kya kal aana avashyak hai, ya kaam online ho jayega?","क्या कल व्यक्तिगत रूप से उपस्थित होना आवश्यक है, अथवा कार्य online संपन्न हो सकता है?","Kya kal vyaktigat roop se upasthit hona avashyak hai, athva karya online sampann ho sakta hai?",अनिवार्य | महत्वपूर्ण | अपरिहार्य,anivarya | mahatvapurn | aparihaarya,Avashyak sounds clear and composed without becoming too formal.,Kisi avashyak kaam ke baare mein ek seedha vaakya kahiye.,importance | clarity | daily speech,easy
10,मदद,madad,सहायता,sahayata,help or assistance,"एक minute, इस form में तुम्हारी मदद चाहिए।","Ek minute, is form mein tumhari madad chahiye.","एक क्षण, इस form को भरने में आपकी सहायता चाहिए।","Ek kshan, is form ko bharne mein aapki sahayata chahiye.",कृपया इस प्रपत्र को पूरा करने में मेरी सहायता करें; एक बिंदु स्पष्ट नहीं है।,Kripya is prapatra ko poora karne mein meri sahayata karein; ek bindu spasht nahi hai.,मदद | सहयोग | समर्थन,madad | sahyog | samarthan,Sahayata keeps a request respectful and elegant.,Sahayata maangte hue ek vinamra vaakya taiyar kijiye.,help | requests | polite speech,easy
